"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"199611010BOS",1996-11-01,"Chicago Bulls",107,"Boston Celtics",98,"",18624,""
"199611010DEN",1996-11-01,"Dallas Mavericks",92,"Denver Nuggets",91,"",16104,""
"199611010DET",1996-11-01,"Indiana Pacers",89,"Detroit Pistons",95,"",21454,""
"199611010GSW",1996-11-01,"Los Angeles Clippers",97,"Golden State Warriors",85,"",15593,""
"199611010HOU",1996-11-01,"Sacramento Kings",85,"Houston Rockets",96,"",16285,""
"199611010LAL",1996-11-01,"Phoenix Suns",82,"Los Angeles Lakers",96,"",17505,""
"199611010MIA",1996-11-01,"Atlanta Hawks",81,"Miami Heat",94,"",15113,""
"199611010MIN",1996-11-01,"San Antonio Spurs",78,"Minnesota Timberwolves",82,"",18109,""
"199611010NJN",1996-11-01,"Cleveland Cavaliers",90,"New Jersey Nets",77,"",18316,""
"199611010ORL",1996-11-01,"Washington Bullets",96,"Orlando Magic",92,"",17248,""
"199611010PHI",1996-11-01,"Milwaukee Bucks",111,"Philadelphia 76ers",103,"",20444,""
"199611010TOR",1996-11-01,"New York Knicks",107,"Toronto Raptors",99,"",28457,""
"199611010UTA",1996-11-01,"Seattle SuperSonics",91,"Utah Jazz",99,"",19911,""
"199611010VAN",1996-11-01,"Portland Trail Blazers",114,"Vancouver Grizzlies",85,"",19193,""
"199611020ATL",1996-11-02,"Detroit Pistons",90,"Atlanta Hawks",78,"",16378,""
"199611020CHH",1996-11-02,"Toronto Raptors",98,"Charlotte Hornets",109,"",24042,""
"199611020CHI",1996-11-02,"Philadelphia 76ers",86,"Chicago Bulls",115,"",24040,""
"199611020DAL",1996-11-02,"Sacramento Kings",107,"Dallas Mavericks",94,"",18042,""
"199611020IND",1996-11-02,"Miami Heat",97,"Indiana Pacers",95,"",15948,""
"199611020LAC",1996-11-02,"Utah Jazz",95,"Los Angeles Clippers",90,"",13041,""
"199611020MIL",1996-11-02,"Boston Celtics",102,"Milwaukee Bucks",124,"",17275,""
"199611020PHO",1996-11-02,"Houston Rockets",110,"Phoenix Suns",95,"",19023,""
"199611020SEA",1996-11-02,"Portland Trail Blazers",93,"Seattle SuperSonics",104,"",17072,""
"199611020WSB",1996-11-02,"Cleveland Cavaliers",98,"Washington Bullets",96,"OT",18756,""
"199611030LAL",1996-11-03,"Minnesota Timberwolves",85,"Los Angeles Lakers",91,"",15407,""
"199611030NYK",1996-11-03,"Charlotte Hornets",86,"New York Knicks",113,"",19763,""
