"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"200610310LAL",2006-10-31,"10:30 pm","Phoenix Suns",106,"Los Angeles Lakers",114,"",18997,""
"200610310MIA",2006-10-31,"8:00 pm","Chicago Bulls",108,"Miami Heat",66,"",20229,""
"200611010BOS",2006-11-01,"7:30 pm","New Orleans/Oklahoma City Hornets",91,"Boston Celtics",87,"",18624,""
"200611010CHA",2006-11-01,"7:00 pm","Indiana Pacers",106,"Charlotte Bobcats",99,"",18518,""
"200611010CLE",2006-11-01,"8:00 pm","Washington Wizards",94,"Cleveland Cavaliers",97,"",20562,""
"200611010DET",2006-11-01,"8:00 pm","Milwaukee Bucks",105,"Detroit Pistons",97,"",22076,""
"200611010GSW",2006-11-01,"10:30 pm","Los Angeles Lakers",110,"Golden State Warriors",98,"",19596,""
"200611010MEM",2006-11-01,"8:00 pm","New York Knicks",118,"Memphis Grizzlies",117,"3OT",17113,""
"200611010MIN",2006-11-01,"8:00 pm","Sacramento Kings",83,"Minnesota Timberwolves",92,"",19356,""
"200611010NJN",2006-11-01,"7:30 pm","Toronto Raptors",92,"New Jersey Nets",102,"",18646,""
"200611010ORL",2006-11-01,"7:00 pm","Chicago Bulls",94,"Orlando Magic",109,"",17451,""
"200611010PHI",2006-11-01,"7:00 pm","Atlanta Hawks",75,"Philadelphia 76ers",88,"",17119,""
"200611010PHO",2006-11-01,"10:30 pm","Los Angeles Clippers",104,"Phoenix Suns",112,"",18422,""
"200611010SEA",2006-11-01,"10:00 pm","Portland Trail Blazers",110,"Seattle SuperSonics",106,"",17072,""
"200611010UTA",2006-11-01,"9:00 pm","Houston Rockets",97,"Utah Jazz",107,"",18133,""
"200611020DAL",2006-11-02,"8:00 pm","San Antonio Spurs",97,"Dallas Mavericks",91,"",20416,""
"200611020LAC",2006-11-02,"10:30 pm","Denver Nuggets",95,"Los Angeles Clippers",96,"",18050,""
"200611030ATL",2006-11-03,"7:30 pm","New York Knicks",92,"Atlanta Hawks",102,"",19604,""
"200611030BOS",2006-11-03,"7:30 pm","Detroit Pistons",101,"Boston Celtics",88,"",18624,""
"200611030CHI",2006-11-03,"8:30 pm","Sacramento Kings",89,"Chicago Bulls",88,"",22454,""
"200611030DEN",2006-11-03,"9:00 pm","Minnesota Timberwolves",112,"Denver Nuggets",109,"",19234,""
"200611030GSW",2006-11-03,"10:30 pm","Portland Trail Blazers",89,"Golden State Warriors",102,"",17204,""
"200611030IND",2006-11-03,"7:00 pm","New Orleans/Oklahoma City Hornets",100,"Indiana Pacers",91,"",18165,""
"200611030LAL",2006-11-03,"10:30 pm","Seattle SuperSonics",112,"Los Angeles Lakers",118,"",18997,""
"200611030MEM",2006-11-03,"8:00 pm","Charlotte Bobcats",83,"Memphis Grizzlies",96,"",13787,""
"200611030MIA",2006-11-03,"7:30 pm","New Jersey Nets",85,"Miami Heat",91,"",19600,""
