"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"201201010CHI",2012-01-01,"8:00 pm","Memphis Grizzlies",64,"Chicago Bulls",104,"",22763,""
"201201010CLE",2012-01-01,"6:00 pm","New Jersey Nets",82,"Cleveland Cavaliers",98,"",15084,""
"201201010DEN",2012-01-01,"8:00 pm","Los Angeles Lakers",90,"Denver Nuggets",99,"",19155,""
"201201010LAC",2012-01-01,"9:30 pm","Portland Trail Blazers",88,"Los Angeles Clippers",93,"",19060,""
"201201010MIA",2012-01-01,"6:00 pm","Charlotte Bobcats",90,"Miami Heat",129,"",20016,""
"201201010MIN",2012-01-01,"7:00 pm","Dallas Mavericks",82,"Minnesota Timberwolves",99,"",15115,""
"201201010ORL",2012-01-01,"6:00 pm","Toronto Raptors",96,"Orlando Magic",102,"",18846,""
"201201010SAC",2012-01-01,"9:00 pm","New Orleans Hornets",80,"Sacramento Kings",96,"",13628,""
"201201010WAS",2012-01-01,"6:00 pm","Boston Celtics",94,"Washington Wizards",86,"",17458,""
"201201020BOS",2012-01-02,"7:30 pm","Washington Wizards",92,"Boston Celtics",100,"",18624,""
"201201020DAL",2012-01-02,"8:30 pm","Oklahoma City Thunder",87,"Dallas Mavericks",100,"",20108,""
"201201020DEN",2012-01-02,"9:00 pm","Milwaukee Bucks",86,"Denver Nuggets",91,"",14142,""
"201201020DET",2012-01-02,"7:30 pm","Orlando Magic",78,"Detroit Pistons",89,"",8120,""
"201201020MIA",2012-01-02,"7:30 pm","Atlanta Hawks",100,"Miami Heat",92,"",20078,""
"201201020MIN",2012-01-02,"8:00 pm","San Antonio Spurs",96,"Minnesota Timberwolves",106,"",14514,""
"201201020NJN",2012-01-02,"7:30 pm","Indiana Pacers",108,"New Jersey Nets",94,"",12519,""
"201201020NYK",2012-01-02,"7:30 pm","Toronto Raptors",90,"New York Knicks",85,"",19763,""
"201201020PHO",2012-01-02,"3:30 pm","Golden State Warriors",91,"Phoenix Suns",102,"",14793,""
"201201020UTA",2012-01-02,"9:00 pm","New Orleans Hornets",90,"Utah Jazz",94,"",19159,""
"201201030CHI",2012-01-03,"8:00 pm","Atlanta Hawks",74,"Chicago Bulls",76,"",22166,""
"201201030CLE",2012-01-03,"7:00 pm","Charlotte Bobcats",101,"Cleveland Cavaliers",115,"",14173,""
"201201030LAL",2012-01-03,"10:30 pm","Houston Rockets",99,"Los Angeles Lakers",108,"",18997,""
"201201030MEM",2012-01-03,"8:00 pm","Sacramento Kings",96,"Memphis Grizzlies",113,"",12391,""
"201201030OKC",2012-01-03,"8:00 pm","Portland Trail Blazers",103,"Oklahoma City Thunder",93,"",18203,""
"201201030UTA",2012-01-03,"9:00 pm","Milwaukee Bucks",73,"Utah Jazz",85,"",17756,""
"201201040BOS",2012-01-04,"7:30 pm","New Jersey Nets",70,"Boston Celtics",89,"",18624,""
"201201040DAL",2012-01-04,"8:30 pm","Phoenix Suns",89,"Dallas Mavericks",98,"",19885,""
"201201040DEN",2012-01-04,"9:00 pm","Sacramento Kings",83,"Denver Nuggets",110,"",14562,""
"201201040DET",2012-01-04,"7:30 pm","Chicago Bulls",99,"Detroit Pistons",83,"",9125,""
"201201040LAC",2012-01-04,"10:30 pm","Houston Rockets",89,"Los Angeles Clippers",117,"",19060,""
"201201040MIA",2012-01-04,"7:30 pm","Indiana Pacers",83,"Miami Heat",118,"",20201,""
"201201040MIN",2012-01-04,"8:00 pm","Memphis Grizzlies",90,"Minnesota Timberwolves",86,"",17404,""
"201201040NOH",2012-01-04,"8:00 pm","Philadelphia 76ers",101,"New Orleans Hornets",93,"",12387,""
"201201040NYK",2012-01-04,"7:30 pm","Charlotte Bobcats",118,"New York Knicks",110,"",19763,""
"201201040ORL",2012-01-04,"7:00 pm","Washington Wizards",85,"Orlando Magic",103,"",18846,""
"201201040SAS",2012-01-04,"8:30 pm","Golden State Warriors",95,"San Antonio Spurs",101,"",16751,""
"201201040TOR",2012-01-04,"7:00 pm","Cleveland Cavaliers",77,"Toronto Raptors",92,"",14468,""
"201201050ATL",2012-01-05,"8:00 pm","Miami Heat",116,"Atlanta Hawks",109,"3OT",18371,""
"201201050POR",2012-01-05,"10:30 pm","Los Angeles Lakers",96,"Portland Trail Blazers",107,"",20444,""
"201201050SAC",2012-01-05,"10:00 pm","Milwaukee Bucks",100,"Sacramento Kings",103,"",11813,""
"201201050SAS",2012-01-05,"8:30 pm","Dallas Mavericks",71,"San Antonio Spurs",93,"",18581,""
"201201060BOS",2012-01-06,"7:30 pm","Indiana Pacers",87,"Boston Celtics",74,"",18624,""
"201201060CHA",2012-01-06,"7:00 pm","Atlanta Hawks",102,"Charlotte Bobcats",96,"OT",17827,""
"201201060LAL",2012-01-06,"10:30 pm","Golden State Warriors",90,"Los Angeles Lakers",97,"",18997,""
"201201060MIN",2012-01-06,"8:00 pm","Cleveland Cavaliers",98,"Minnesota Timberwolves",87,"",16943,""
"201201060NOH",2012-01-06,"8:00 pm","Denver Nuggets",96,"New Orleans Hornets",88,"",13035,""
"201201060OKC",2012-01-06,"8:00 pm","Houston Rockets",94,"Oklahoma City Thunder",109,"",18203,""
